评分,评论内容,评论时间,点评总数,上传图片
4.8,房间装修很雅致，看起来赏心悦目住着也很舒服。房间设施齐全可以放心入住，酒店员工人也很nice！值得入住,发表于2020-03-30,1.0,5.0
5.0,住了三天，为了在人民大礼堂看演出顺便玩耍一下。首先交通非常便利，出了酒店左手下坡后再右转五百多米就到大礼堂了，非常近，强烈推荐看演出住在这里。酒店丽大溪沟地铁站只有二百多米，无论去玩还是去机场都很方便。住宿环境如图，装修色调很喜欢，也很干净，床的软硬适中，除了灯光略暗化妆有点费劲儿之外，几乎完美。酒店的服务特别好，入住时小哥给了我一酸奶，走的那天因为是五点多的飞机，又给我免费延住到了下午两点，退房时跟前台小姐姐说了灯光问题，结果她马上反应给了工程部，说要尽快改进，还送了我一碗小面...点点滴滴，真的让我对这个酒店印象很好，下次来重庆还会再住，希望越来越好。,发表于2019-12-29,5.0,32.0
5.0,第二次来重庆，订这家酒店真的很好，性价比高，环境好，4星级的服务，住了两晚，第一晚外面有点吵，找服务人员以后酒店员工可可，凡凡和小倩给我们换了房间，下次再来重庆还会选择这家酒店。不仅服务好，交通还非常便利。,发表于2020-04-15,3.0,5.0
5.0,开车带孩子来重庆玩，主要考虑的条件是能停车房间干净，在携程上千挑万选的选择了这家酒店，不知道是不是网评的那么好，所以先定了一天的房，出了高速按着导航开过来，没走冤枉路，酒店有自己的停车位，在一个小区的入口处，办理入住的时候前台的工作人员小刘很热情，主动出来帮我们拿行李，办理完入住还主动帮我们把行李拿到房间去，说实话一进大堂就喜欢这里了，看到房间虽然不大但是很干净，酒店很新但是已经没有装修的味道了，在房间细节上能看到老板很用心，在桌子角会贴上防撞条，房间里看不到带棱带角的地方，所以毫不犹豫又续了两天，第二天办理的时候，前台的其他工作人员也都特别的热情，直问我们有什么不满意和需要的地方。位置也不错，出酒店不远就是地铁二号线了！离洪崖洞，缆车这些地方都不远！,发表于2019-12-23,9.0,57.0
5.0,环境装修都挺好的，相比楼店更喜欢这种独栋的酒店。装修北欧风，用色大胆又简约。元素很讨喜，无声排风扇特别得我心意，尤其是十多度的天气，还有加热马桶盖，真的很赞，用得我想自己家叶装一个了…就是没啥景色啥的，香看江需要加钱住另外一面儿的，具体还得问问酒店前台。体验还不错，服务也热情周到,发表于2019-12-27,1.0,8.0
5.0,酒店的服务超级好，房间ins风超简约，叶子和高原小姐姐服务超级好，入住给我们主动升了房间，还带了酸奶，一直在给我们拿零食和水，弄的都不好意思了�总体非常满意,发表于2020-01-25,1.0,5.0
5.0,第一次来重庆。酒店位置很好。距离各种著名景点很近。出行也方便。关键是房间空间比其他同类型酒店要大一些。,发表于2020-04-09,1.0,2.0
5.0,"入住的时候前台的小姐姐很nice,服务态度一级棒�� 前台的客服西西，朋友退房的时候说她态度超级好的，赞一个 环境也很不错，个人住过很多酒店，这次是第一次住携程旗下的酒店，感觉这个品牌还是挺舒服的，虽然比不上w等品牌，但是这个价位的酒店环境已经算超级划算了，总而言之是一次非常不错的入住体验 力推！！！",发表于2020-01-28,1.0,6.0
5.0,酒店位置不错，2号线轻轨轻松到达大溪沟站。前台的美女很热情，把携程订的房间主动给我做了升级，还会带你送进客房，五星级酒店都没有这么热情了。酒店大堂和房间都很漂亮，酒店客房应该是轻奢类型的，我很喜欢。房间内4瓶矿泉水，不够随时取，前台还会送你一罐酸奶，还有各种小零食吃。智能化的客房设备，卫生间干湿分区，智能化坐便器坐垫，不要太舒服啊。来重庆，就住“来住丽呈酒店”。,发表于2019-12-22,52.0,205.0
5.0,重庆停车费不低，这个酒店停车场免费真的很不错。酒店设施很新，服务很好，值这个价钱，200元以内性价比非常高的酒店之一。,发表于2020-04-04,2.0,3.0
5.0,办理入住的时候有欢迎酸奶，房间打扫的很干净，出门地铁站和公交站都很近，退房时前台小美女西西还会贴心的询问要不要多带几瓶矿泉水，这次碰上肺炎，很多景点关闭了，下次来重庆还会入住这里,发表于2020-01-27,5.0,12.0
5.0,我和家属预定的是迷你房 不带早餐，可是你来四川耍 不吃当地早餐吃酒店的为什么�适合带孩子 位置位于大溪沟轻轨站边上 是真的边上喔 秒到。酒店在停车场里面�谢谢高原 小刘 竹林 小尧她们的热情服务，客房帮我升级到大床房 很满意  丽呈连锁酒店的管理和卫生不错  这个价位还是满意的，下次有机会还会回来。,发表于2019-12-14,5.0,37.0
5.0,非常不错的酒店。轻轨大溪沟站出站一百米吧，离解放碑其实有点远，但离大礼堂三峡博物院近步行可以到达。房间配置不错，该有的都有，用品也不错。不好的地方，空调声响大，酒店智能马桶不好用，太弱。员工的服务非常不错，总体很推荐。,发表于2019-12-21,51.0,182.0
5.0,前台小西人美，态度好，刚到重庆哪都不认识，咨询的时候，非常耐心。位置就在轻轨大溪地旁边，出行非常方便，室内环境也好，正好赶上过年，送了玩具和对联，对于外出的人很暖心。,发表于2020-01-21,3.0,7.0
5.0,房间舒适干净，价位也适合，瓶装水无限喝、一来到前台就先送酸奶、前台小姐姐亲自带来房间价绍设施，住了三天，可以说是很满意了，一出门就地铁口，周边的饭馆都很好吃 前台小姐姐们个个服务都超级好，很贴心，特别是叶子！,发表于2020-01-20,26.0,9.0
5.0,酒店很好找，2号线还是三号线的大溪沟一下地铁上个坡就到了酒店了，这门面。这地段，真的很不错，小刘先生服务的很好，帮我们升级了房间，房间很漂亮，都是智能化系统，我觉得太超值了！而且去哪都方便，门口就有老火锅，也可以在酒店里面吃，吃完这尖椒肉丝瞬间想家了�，床很舒服，也有窗户但是很安全，带宝宝的朋友心里踏实多了！短暂的旅行结束了，我相信我还会再次来酒店享受你们让你给我的服务！非常感谢�,发表于2019-12-08,2.0,11.0
5.0,非常满意的一次入住，酒店免费升级房间，干净卫生，宽敞明亮，前台的可可，叶子服务热情。还有一个男孩子忘了问他叫什么也非常好，帮我们提行李。退房时孩子手表落在酒店，联系酒店也及时找回，以后来了还住这里，很好。,发表于2020-01-05,5.0,5.0
4.8,5天4晚的重庆支行选择了这家，机场大巴到大礼堂下车，地铁的话2号线大溪沟站下，由于靠近地铁站，所以地理位置还不错，出行很方便，离解放碑和网红李子坝站都不远，前台服务态度好，比较热情，也比较热心，家庭出游或者差旅的话，这家是个不错的选择的,发表于2019-12-15,6.0,12.0
5.0,这次疫情期间很幸运能住到环境和服务都很好的酒店 前台的工作人员可可 欣欣的服务态度非常好 办事效率高 下次来还会选择本酒店��,发表于2020-03-31,6.0,3.0
5.0,开始是因为这个酒店离亲戚家近选择住宿的，住进以后觉得很不错，价格公道，服务也好，入住还送我两个酸奶，离店还温馨的问我需要带2瓶矿泉水路上喝不� � 早餐还可以送到房间用，必须赞一个，下次仍然选择你家酒店� ,发表于2020-01-08,1.0,4.0
4.3,房间挺好的，干净整洁，但隔音不是很好，楼上冲水的声音一直可以听见。环境还可以，在小区居民楼里，停车位不是很多。前台服务很好十分贴心，可可和竹林为她们点赞，服务真的很周到。价格实惠，推荐,发表于2020-01-27,11.0,16.0
5.0,在携程上搜索到的这家酒店，看看评论不错，就决定亲自体验一下。进入酒店，可可和叶子两位美女热情接待，见我们有老年人，主动帮我们升级了大床房，还送我们到房间，房间干净整洁，设备智能化，送了免费的酸奶，棒棒哒！下次去重庆不二的选择哦！,发表于2020-01-01,1.0,4.0
5.0,这个酒店真的太好了，五星的服务，前台无论小哥哥小姐姐都特别热情，出门还问带不带水，还给免费升级了房间，房间又大又干净，外面餐厅和灯展都是ins风，漂亮极了，希尔顿都没这么好的房间和服务，位置也特别好，紧邻大溪沟地铁口，去周公馆走过去一路都是美景，必须好评好评，临走叶子可可给办的携程管家行李直接送机场，携程也是越做越好了！加油加油�,发表于2020-01-02,3.0,4.0
5.0,回来后一堆事情处理，今天才有空点评酒店。看携程上评分很高，离开解放碑又近，就预订了这间酒店。前台的小美女热情接待了我们，还把我们送到了房间。我们定的迷你房，免费升成了大床房。房间打扫的非常卫生，设备也很新，矿泉水直接给你每天备了4瓶，说不够可以随时要。临走那天告诉我们可以免费送行李到机场。非常感谢服务员高原，葵花，还有17日晚上我们住店时接待我们那个年轻的小美女（对不起，忘记名字了）。以后来重庆还会来这家酒店。,发表于2019-11-22,1.0,9.0
5.0,酒店环境很好，我们晚上挺晚到店了前台非常热情而且有送酸奶哦 行李管家非常方便 可以填好信息可以轻松去买买买 推荐推荐,发表于2020-01-12,1.0,5.0
5.0,房间非常干净，新装修的好像，前台客服服务超级好，关心很到位，离店时还帮忙安排行李托运到下一个酒店，还给我送瓶水路上喝,发表于2020-01-07,3.0,10.0
5.0,干净舒适，宽敞明亮.服务态度在重庆这个火辣的城市里是一亮点，唯一不足就是窗户的话对于小孩子来说有点危险，我住的房间的窗户儿童安全锁是坏的，其他的都很好...,发表于2020-01-14,7.0,15.0
5.0,房间很OK，服务态度也好哦，欣欣可可。还有27号晚上值班笑起来很甜的女孩子。多的不说了，强烈推荐。,发表于2020-03-30,6.0,5.0
5.0,"首先酒店交通很方便 到大溪沟地铁口只需要3分钟 
距离解放碑 洪崖洞热门景点都不远   再说酒店的服务可以打个满分 工作人员很热情 入住还会直接送两杯酸奶 亲自引导入房 入住退房都很快捷  再说酒店的硬件 房间配色非常简单舒服 非常的敞亮  还有一个大大的飘窗  卫生间 沐浴件是分开的我非常喜欢 自动马桶  提供的备品如牙刷 洗发水 沐浴露等也比一般的酒店高档 每天还会提供4瓶水 最后通过携程入定还可以在携程行李管家上下单  酒店已经帮你付费可以帮你的行李免费送到机场或者一程的酒店 这样我们最后一天的行程就不用搬着行李走来走去 实在太方便了 所以这次入住我给酒店打100分 这样的高性价比高服务的酒店也希望能一直保持 再来重庆我一定还会选择这里或者推荐给身边的朋友 重庆之旅因为入住这里又完美了一些",发表于2019-11-28,2.0,6.0
5.0,一家神仙酒店，位置极佳，闹中取静，走到轻轨站三分钟，前台小姐姐仙女一样漂亮，热情，体贴，房间安逸舒适，最爽的就是马桶，哈哈，用重庆话说“巴适得很”，超喜欢这家店。,发表于2019-11-06,19.0,15.0
5.0,酒店非常干净整洁，凌晨两点到的前台很热情地招待。房间智能马桶、热水很足、茶壶很漂亮，设施很新，床很舒服、交通便利，出门就是公交站和轻轨站，很方便,发表于2019-11-17,2.0,9.0
5.0,酒店设计时尚，房间内面积宽敞，离地铁口近，步行5分钟。房间内环境很舒适，还有浴缸和一次性泡澡袋。前台服务很热情。,发表于2019-12-04,5.0,18.0
4.8,酒店设施比较新，而且细节做得较好，桌角什么的都贴了防护角，马桶装了智能冲洗盖。前台态度很好，小诺接待的，免费帮我升了房型，还送我到房间；叶子办理退房还送了我一杯酸奶。两点可以改进：一是淋浴间的喷头貌似不能调节角度，反正我是没调成，而且没有放衣服的地方，墙上应该装个浴室架什么的；二是房门隔音效果不好，半夜里别间客人进进出出的声音很响，影响休息。,发表于2019-12-30,4.0,3.0
5.0,可以说这个价位住得到这样酒店真的超值。位置方便，服务热情，房间大小合适，内部设施合理，装修也不错，最重要的是卫生做得干净，住酒店最看中的就是这个。所以零差评是有道理的！！！,发表于2020-04-25,10.0,23.0
5.0,"酒店哪哪都很好，一到店就给我2杯酸奶，装饰高端时尚，服务员真心客气又温暖……有问必答，有求必应。  房间干净舒适，窗外很安静，就是隔音略差一点。还有餐吧点餐送上来的服务。床单干净哦。
最后我觉得，不一定要住解放碑附近啦，这边交通方便，价格很实惠。",发表于2019-11-05,8.0,18.0
5.0,酒店环境超棒棒，卫生干净，安静，服务特别热情，进屋电视自动播放轻音乐，特别温馨，刚进酒店，服务员送了两瓶酸奶，很客气，出门在外，最希望住的像在家里一样温暖,发表于2019-11-10,1.0,8.0
4.3,"前台地理位置优越，距离二号线大溪沟A出口紧需要5分钟内。�可惜酒店位于上坡路走的比较吃力。前台服务不错，是一个酒店人该有的素质与要求，有一位不戴眼镜的小哥哥也挺好的，重庆口味较重广东人可能需要酸奶来调节肠胃，每次去前台问小哥哥拿他也很乐意的为我们提供，到了我退房的时候他还不忘问我一句需要带上两罐酸奶在路上吗，这点确实让人觉得很贴心，记住了客人的需求。房间说是做了免费升级，本来之前看以为有浴缸，结果打去前台询问需要补差价升级才能有，这点比较遗憾，本来以为旅途结束后可以回到酒店去扫一下澡缓解一天的疲劳��‍♀️不过最遗憾的还是酒店的卫生服务可能有所欠缺，由于到店已经是凌晨了，进入房间时想泡杯茶水，结果发现杯子里面是脏的！�茶壶里面居然还有茶叶�因为我是自带茶叶去了，所以并没有使用酒店的茶叶。这一点真的太令人失望了��‍♀️这种卫生情况做的不够细心用服务去弥补个人觉得还是不够的，不过总体来说体验感还是不错的。酒店的早餐也是不错，点了豌杂面，牛肉粥，及第粥也是很不错的！很棒！可是干炒牛河就真的很不好吃(忘了拍照)而且是乌漆嘛黑的.........酒店的各种设施设备也是比较好的，智能马桶等。期待下次的重庆之旅 
                                                       Yanice",发表于2019-12-02,3.0,6.0
4.8,好，很好！房间干净，人员服务态度都很好，也很热情，我们到的时候房间还没好，留给我们升级了房型，床品都很舒服，洗手间和厕所干湿分离，都很干净，去之前还在担心卫生情况，去到后住得还是很安心的。下次去重庆还会选择这家。,发表于2019-12-15,15.0,25.0
5.0,最近一个月第二次到重庆再住的酒店，原因是：酒店前台高店长接待热情！竹林认真负责，还帮忙给了一个升级。酒店的性价比太高，酒店提供的免费行李寄送服务非常安全、高效，下次出差首选来住品牌酒店。,发表于2020-01-09,16.0,12.0
5.0,环境好，设施好，服务好，早餐好……从入住前的提醒到退房后的行李代送到火车站，美好的记忆太多……感谢来住丽呈的小伙伴们，温暖了此次重庆之行！从今后，想起重庆，必定想起丽呈。,发表于2019-12-11,3.0,4.0
5.0,说重庆去玩的时候住的，位置很好找，轻轨2号线大溪沟出口旁，房间很不错，第一次来没房间了还没住上，这次是第二次订，整体感觉很棒，尤其是前台小姐姐小哥哥特别的热情，非常的有耐心，服务特别的贴心和周到，特别表扬一下前台小汐小姐姐，加三个鸡腿���至于是什么要特别表扬了，去体验一下就知道了�,发表于2019-12-31,2.0,3.0
5.0,这家酒店 可能是我最近住过的最 优秀的酒店了！不论是地理位置 还是软件硬件设施 包括酒店的价格真的是超低！最重要的是服务... 服务  一点不夸张的说 着的服务堪比各大连号五星级酒店！我是16日23:00左右办理的入住，首先 停车位 前台小姐姐负责任的告诉我的明明白白，其次是房间 因为我们来的晚 只有一楼了！看我们自驾来的 怕我们被吵到 特意升级到高楼层！真的是太细心！前台2位小姐姐必须给个赞. 而且我们问的问题都一一耐心给了很多建议！最重要的是 我们要上楼的时候 居然还出来送我们一下 真的是 太给力了 五星好评,发表于2020-04-17,70.0,4.0
5.0,酒店设施很新，没有异味，出行也方便，前台的叶子和小倩服务很热情，亲和力强，大厅还提供各色免费小吃。重点表扬的是，酒店很人性化，提供了儿童拖鞋和牙刷，大赞�,发表于2020-04-17,1.0,
5.0,物超所值，物美价廉，酒店在一个小区旁，周围很多吃的，离地铁也很近，交通方便，前台工作人员非常热情，可可小美女免费帮忙升级房间，以后到重庆就住这家了,发表于2020-04-21,30.0,
5.0,面朝嘉陵江，停车交通方便，离网红景点都很近，入住非常舒服。小倩和可可服务热情，点赞� 早餐看见是中西餐厅，疫情期间也没有使用，看着性价比很高。,发表于2020-04-15,4.0,
5.0,吹爆这家酒店，性价比很高，设施很新非常干净，热水即开即有。而且很智能化，智能马桶一直保持温暖，适合冬天，镜子有美容光。早餐额外点餐很好吃。还给我升级了房间，前台小沁的服务态度很好，真是很好的体验。唯一想提的意见就是花洒角度不能调节。,发表于2019-10-20,6.0,17.0
5.0,房间非常的好，可可服务非常的好，还贴心的送小饼干当早饭，下次还会选择这里,发表于2020-03-22,1.0,3.0
5.0,前台的高原，小艺，小汐，葵花谢谢妳们的服务，很开心来重庆旅游能住到这么舒适的酒店，住到有回家的感觉不想离开。所订的房型空间相当足够，卫生新颖安静，而且真的作到无烟房的要求。设计上的很多小细节都顾虑的很好，如桌角防撞绵，智能马桶，高檔环保拖鞋，床具舒适软硬度和高度，浴室瓷砖防污性选择，隐藏式小冰箱。最棒的是有窗边木制双层卧台，很干净可坐可躺，其它酒店都没见过这种设计。柜台服务人员的训练和亲切度棒极了，第一次碰到有Check-in时亲自带你到房间介绍的酒店。早餐28元套餐也很值得推荐，现作美味卫生实惠。,发表于2019-11-29,12.0,38.0
4.8,首先说下入住体验吧，一进酒店就有工作人员引导办理入住并且送到指定房间，房间风格比较简约但也有些设计的小心机在里头，还是蛮受年轻人喜欢的。马桶是电动的带有清洁功能，房间有一个大飘窗 能直接看到江景，很适合拍照。 交通位置的话，还是很方便的。离2号线大溪沟站几步路的距离，2号线除了网红点李子坝以外还可以观赏江景。酒店离解放碑等各种景点也非常近，就是去机场远些，但是重庆轻轨很方便，到哪儿都可以换乘。 酒店自身应该在四星左右水平，价格也算适中，楼下是没有餐厅的，只有一个小吧，卖点酒水小食，唯一觉得不满意的是酒店的淋浴喷头。设计得非常高，而且不能调节高低，洗澡时喷的到处都是，很诧异一个连马桶都这么高级的配备，会在淋浴喷头这里做得这么缺乏考虑。而且房间大门一进来就是淋浴间跟卫生间，淋浴间不是完全不可透视的，这样如果房间门打开，门外的人是可以大概看到在使用淋浴间的人，未免有点尴尬。另外浴室没有配备防滑垫。 最后表扬一下洗浴用品。白茶的味道真的非常喜欢。,发表于2019-12-15,1.0,3.0
5.0,位置很方便！离轻轨站很近！离洪崖洞，山城步道这些景点都很近，却又闹中取静，周围环境不喧嚣！前台小刘服务很周到，很热情，本想来了重庆换着酒店住，住了以后就不想换了，非常好！,发表于2020-04-13,3.0,
5.0,服务态度很好，房间挺大，也很干净卫生，但是有个小问题，洗澡没有准备拖鞋，可能因为我订的房型是最经济的。地方很安静，大溪沟站坐轻轨去别的地方也很方便。,发表于2020-04-13,2.0,
5.0,周六预定的房间，才126/晚。价格和七天汉庭差别不大。 但是，环境太好了!!预定的时候告知前台:有个四岁小盆宇一起，希望安排一个安静的房间，前台还贴心的问了是否自带了儿童牙刷？最后还为我们准备了一份。很赞�房间和网站图片一样。智能马桶也有，洗漱用品除开基本的，还有一次性的剃须刀 针线包等。 地理位置也好 出门就是公交站。地铁站 唯一的两个建议就是车位建议增加 还要就是房间内的化妆镜按钮灯光有点影响晚上睡眠 值得推荐。下次还会来入住的。,发表于2020-04-12,15.0,5.0
5.0,酒店位置很好找轻轨大溪沟站出来拐个弯弯爬个坡坡就到了，附近交通便利。想去网红景点洪崖洞、解放碑、朝天门选择公交和轻轨方可到达。可可一直细心的给我讲解重庆的交通，小倩送的曲奇饼干很好吃，吃完都有想联系酒店购买的欲望很值得推荐。,发表于2020-04-11,50.0,37.0
5.0,酒店位置很好找轻轨大溪沟站出来拐个弯弯爬个坡坡就到了，附近交通便利。想去网红景点洪崖洞、解放碑、朝天门选择公交和轻轨方可到达。小刘送的曲奇饼干很好吃，吃完都有想联系酒店购买的欲望很值得推荐。,发表于2020-04-11,4.0,
5.0,第一次来重庆，酒店环境很不错，位置很好，离解放碑不远，附近也有特色火锅店，交通也方便，走的时候是下午的5点飞机，出去太早要等，酒店就把退房时间免费给延迟了两个小时，特别好，还有叫小刘的特别好，有礼貌,发表于2020-04-10,1.0,
5.0,性价比超高的酒店，到了前台告知可以免费升级房型，步入房间干净整洁舒适，窗台边可以置物也可以坐人，很是舒服，卫生间是电动马桶，整体感受很愉悦。,发表于2019-10-23,6.0,34.0
5.0,和妈妈一起去的，前台小姐姐小刘和可可很温柔贴心，服务很好，入住的人非常少给我们升了房，还送了两个口罩。酒店很新，设施也很好，就是电视和洗手台的显示屏灯关不掉。 酒店位置也超好，出轻轨不远就到了。交通也很便利，房间非常貌美。,发表于2020-01-26,1.0,1.0
4.8,酒店地理位置很好，出门两分钟就有轻轨站，去解放碑洪崖洞两站路。酒店房型不含早餐，不过楼下有餐吧，种类齐全口味也好。前台小姐姐小哥哥非常认真负责，点名表扬高原可可两位可爱的小姐姐，很贴心。房间卫生干净整洁，床铺舒适，稍微提一下的就是通风系统有点串味，卫生间偶尔有烟味。今天是除夕，还收到了离店礼物，祝酒店的工作人员春节快乐！,发表于2020-01-24,2.0,1.0
5.0,非常棒的一家酒店，干净卫生，性价比很高。前台的西西，高源，竹林非常热情，有问题都能及时得到解决。行李管家这个服务真的是太好了，本来只是想寄存行李，工作人员直接说有行李管家服务，退房后背着包包出去玩了，然后直接到高铁站取行李，方便到不行，下次还会继续选择。春运期间360一晚的价格，真的是实惠到不行。,发表于2020-01-22,3.0,1.0
5.0,经常来住，这次没有开早餐，酒店住着很舒服，矿泉水免费喝，零食随便吃，床上用品和白茶洗浴用品都挺好。喜欢来住的设计，简单而舒适。,发表于2020-04-13,113.0,1.0
4.8,酒店位置非常好，50米有2号轻轨，周边1公里左右洪崖洞、解放碑，坐轻轨都能到，有免费停车位，酒店房间装修简单雅致，床超级舒服，坐便器是电动智能的，空调也很给力，酒店前台几个小姑娘的态度都很热情。不足的是:酒店大厅有点异味，客房卫生需提高。,发表于2020-04-07,6.0,6.0
5.0,很可惜疫情期间没能吃到早餐 但服务态度 酒店清洁度 还有位置 都是一等一的 感谢 叶子以及西西两位小姐姐 帮了我很多的忙 如果下次来能吃到早餐就更好了,发表于2020-04-07,3.0,
5.0,在大溪沟轻轨站附近，交通很方便，距离解放碑很近。酒店的整体卫生都很好，设施也很新，前台服务人员全程超级温柔，尤其是可可，临走还给我们带了矿泉水和小饼干。,发表于2020-04-06,7.0,
5.0,酒店出乎意料的好，房间非常干净整洁，所有需要的用品一应俱全，服务也非常的好！超值的体验！绝对满分五星好评！前台工作人员西西，还有一个男生忘记问他的姓名，非常热情帮助我们，非常感谢�,发表于2020-04-04,18.0,
5.0,首先说地理位置，离解放碑和洪崖洞都很近，附近有公交地铁站。再说价格，物美价廉！酒店的环境的也是非常干净整洁！重点是酒店工作人员的服务态度，特别热情负责还贴心。因为是中午退房，怕我们着急赶车没时间吃饭，特意拿了一点小饼干，本来以为赠的东西走个形式罢了，没想到啊，这一袋饼干又多又好吃！这里重点表扬欣欣小姐姐，强烈要求老板给他加鸡腿,发表于2020-04-02,1.0,
4.8,酒店的服务真的超级nice，进入酒店就有小哥哥上前打招呼迎宾，询问怎么过来的，累不累啊之类的， 超级暖。办理入住的时候，送了两个酸奶，还送了一份伴手礼（曲奇饼干），东西虽不贵中，但暖人心，力赞。退房时小姐姐还询问需不需要矿泉水。 酒店离地铁口非常近，走路三五分钟，位置很好找。装修风格小清新，非常适合年轻朋友。美标的卫浴，智能马桶盖，飞利浦吹风机，TCL电视，高清频道，应有尽有。床垫比较软，睡着比较舒服，两种枕头非常不错。 服务卫生环境没得挑，设施方面有两点，没有给满分：第一，抽风系统声响太。。（找不到一个合适的词形容），开启时感觉在屋内没法忍受，不是声音大，是那种低沉嗡嗡得响。第二，洗漱台水龙头太过靠里面，龙头紧挨着洗脸池边缘，水稍微大一点就会流在面板上，感觉不是太好。 在这里要着重力赞一下工作人员，每个人都很热情，发自内心的关心。下次来重庆，还来住。,发表于2019-10-08,10.0,26.0
5.0,前台可可、竹林服务很好，一进门就送酸奶零食。酒店卫生干净，酒店很新，装修日式风。性价比超高，强烈推荐，还会再来！！！！！,发表于2020-01-28,3.0,3.0
